consumer_price_index_item,year,annual_percent_change
Poultry,2002,1.3
Fish and seafood,2002,-1.6
Eggs,2002,1.3
Dairy products,2002,0.6
Fats and oils,2002,-0.2
Fruits and vegetables,2002,4.1
Fresh fruits and vegetables,2002,4.2
Fresh fruits  ,2002,1.9
Fresh vegetables,2002,6.4
Processed fruits and vegetables,2002,3.8
Sugar and sweets,2002,2.1
Cereals and bakery products,2002,2.2
Nonalcoholic beverages,2002,0
Other foods,2002,0.6
All food,2003,2.2
Food away from home,2003,2.1
Food at home,2003,2.2
"Meats, poultry, and fish",2003,4
Meats ,2003,5.4
Beef and veal,2003,9
Pork,2003,1.9
Other meats,2003,2.5
Poultry,2003,1.3
Fish and seafood,2003,1
Eggs,2003,13.8
Dairy products,2003,-0.1
Fats and oils,2003,1.3
Fruits and vegetables,2003,2.3
Fresh fruits and vegetables,2003,2.7
Fresh fruits  ,2003,3.3
Fresh vegetables,2003,2.1
Processed fruits and vegetables,2003,0.9
Sugar and sweets,2003,1.9
Cereals and bakery products,2003,2.4
Nonalcoholic beverages,2003,0.4
Other foods,2003,1
All food,2004,3.4
Food away from home,2004,3
Food at home,2004,3.8
"Meats, poultry, and fish",2004,7.4
Meats ,2004,8.4
Beef and veal,2004,11.5
Pork,2004,5.6
Other meats,2004,4.5
Poultry,2004,7.5
Fish and seafood,2004,2.3
Eggs,2004,6.2
Dairy products,2004,7.3
Fats and oils,2004,6.6
Fruits and vegetables,2004,3
Fresh fruits and vegetables,2004,3.5
Fresh fruits  ,2004,2.8
Fresh vegetables,2004,4.3
Processed fruits and vegetables,2004,1.2
Sugar and sweets,2004,0.7
Cereals and bakery products,2004,1.6
Nonalcoholic beverages,2004,0.4
Other foods,2004,0.5
All food,2005,2.4
Food away from home,2005,3.1
Food at home,2005,1.9
"Meats, poultry, and fish",2005,2.4
Meats ,2005,2.3
Beef and veal,2005,2.6
Pork,2005,2
Other meats,2005,2.4
Poultry,2005,2
Fish and seafood,2005,3
Eggs,2005,-13.7
Dairy products,2005,1.2
Fats and oils,2005,-0.1
Fruits and vegetables,2005,3.7
Fresh fruits and vegetables,2005,3.9
Fresh fruits  ,2005,3.7
Fresh vegetables,2005,4
Processed fruits and vegetables,2005,3.3
Sugar and sweets,2005,1.2
Cereals and bakery products,2005,1.5
Nonalcoholic beverages,2005,2.8
Other foods,2005,1.6
All food,2006,2.4
Food away from home,2006,3.1
Food at home,2006,1.7
"Meats, poultry, and fish",2006,0.8
Meats ,2006,0.7
Beef and veal,2006,0.8
Pork,2006,-0.2
Other meats,2006,1.8
Poultry,2006,-1.8
Fish and seafood,2006,4.7
Eggs,2006,4.9
Dairy products,2006,-0.5
Fats and oils,2006,0.2
Fruits and vegetables,2006,4.8
Fresh fruits and vegetables,2006,5.3
Fresh fruits  ,2006,6
Fresh vegetables,2006,4.6
Processed fruits and vegetables,2006,2.9
Sugar and sweets,2006,3.8
Cereals and bakery products,2006,1.8
Nonalcoholic beverages,2006,2.1
Other foods,2006,1.4
All food,2007,4
Food away from home,2007,3.6
Food at home,2007,4.2
"Meats, poultry, and fish",2007,3.8
Meats ,2007,3.3
Beef and veal,2007,4.4
Pork,2007,2
Other meats,2007,2.3
Poultry,2007,5.1
Fish and seafood,2007,4.6
Eggs,2007,29.2
Dairy products,2007,7.4
Fats and oils,2007,2.9
Fruits and vegetables,2007,3.8
Fresh fruits and vegetables,2007,3.9
Fresh fruits  ,2007,4.5
Fresh vegetables,2007,3.2
Processed fruits and vegetables,2007,3.6
