cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
Dairy products,4,2015.0,-4.3,-0.4,3.8,2015
Dairy products,5,2015.0,-4.3,-1.1,2.2,2015
Dairy products,6,2015.0,-4.2,-1.6,1.1,2015
Dairy products,7,2015.0,-3.9,-1.8,0.4,2015
Dairy products,8,2015.0,-2.7,-1.1,0.6,2015
Dairy products,9,2015.0,-2.6,-1.5,-0.3,2015
Dairy products,10,2015.0,-1.8,-1.1,-0.3,2015
Dairy products,11,2015.0,-1.6,-1.2,-0.8,2015
Dairy products,12,2015.0,-1.5,-1.3,-1.1,2015
Fats and oils,7,2014.0,-9.1,0.0,10.0,2015
Fats and oils,8,2014.0,-7.6,1.3,11.1,2015
Fats and oils,9,2014.0,-6.5,1.8,11.0,2015
Fats and oils,10,2014.0,-5.1,2.8,11.4,2015
Fats and oils,11,2014.0,-4.3,3.1,10.9,2015
Fats and oils,12,2014.0,-6.6,-0.2,7.0,2015
Fats and oils,1,2015.0,-3.7,1.2,6.1,2015
Fats and oils,2,2015.0,-2.3,1.8,6.2,2015
Fats and oils,3,2015.0,-2.5,1.1,4.9,2015
Fats and oils,4,2015.0,-5.6,-2.1,1.6,2015
Fats and oils,5,2015.0,-4.9,-2.0,1.0,2015
Fats and oils,6,2015.0,-4.1,-1.8,0.6,2015
Fats and oils,7,2015.0,-3.3,-1.5,0.3,2015
Fats and oils,8,2015.0,-2.5,-1.2,0.3,2015
Fats and oils,9,2015.0,-1.9,-0.9,0.1,2015
Fats and oils,10,2015.0,-1.6,-0.8,-0.1,2015
Fats and oils,11,2015.0,-1.1,-0.7,-0.2,2015
Fats and oils,12,2015.0,-1.3,-1.1,-0.8,2015
Fruits and vegetables,7,2014.0,-1.9,2.4,6.8,2015
Fruits and vegetables,8,2014.0,-9.3,-0.1,10.2,2015
Fruits and vegetables,9,2014.0,-9.8,-0.9,8.9,2015
Fruits and vegetables,10,2014.0,-8.3,0.0,9.6,2015
Fruits and vegetables,11,2014.0,-1.7,2.5,6.8,2015
Fruits and vegetables,12,2014.0,-8.2,-0.5,7.7,2015
Fruits and vegetables,1,2015.0,-1.4,2.5,6.6,2015
Fruits and vegetables,2,2015.0,-1.1,2.4,6.2,2015
Fruits and vegetables,3,2015.0,-1.5,1.7,5.0,2015
Fruits and vegetables,4,2015.0,-2.3,0.6,3.6,2015
Fruits and vegetables,5,2015.0,-1.9,0.7,3.3,2015
Fruits and vegetables,6,2015.0,-1.4,0.7,3.0,2015
Fruits and vegetables,7,2015.0,-2.2,-0.3,1.6,2015
Fruits and vegetables,8,2015.0,-2.2,-0.6,1.1,2015
Fruits and vegetables,9,2015.0,-1.6,-0.4,0.9,2015
Fruits and vegetables,10,2015.0,-1.1,-0.2,0.7,2015
Fruits and vegetables,11,2015.0,-0.8,-0.2,0.4,2015
Fruits and vegetables,12,2015.0,-0.5,-0.2,0.1,2015
Fresh fruits and vegetables,7,2014.0,-3.1,2.1,7.7,2015
Fresh fruits and vegetables,8,2014.0,-3.1,2.1,7.6,2015
Fresh fruits and vegetables,9,2014.0,-3.1,2.0,7.5,2015
Fresh fruits and vegetables,10,2014.0,-3.0,2.1,7.5,2015
Fresh fruits and vegetables,11,2014.0,-2.7,2.4,7.8,2015
Fresh fruits and vegetables,12,2014.0,-3.2,1.9,7.1,2015
Fresh fruits and vegetables,1,2015.0,-2.3,2.6,7.6,2015
Fresh fruits and vegetables,2,2015.0,-2.1,2.4,7.0,2015
Fresh fruits and vegetables,3,2015.0,-2.5,1.4,5.6,2015
Fresh fruits and vegetables,4,2015.0,-3.1,0.4,4.2,2015
Fresh fruits and vegetables,5,2015.0,-2.7,0.5,3.8,2015
Fresh fruits and vegetables,6,2015.0,-2.3,0.4,3.3,2015
Fresh fruits and vegetables,7,2015.0,-4.1,-1.6,1.0,2015
Fresh fruits and vegetables,8,2015.0,-3.9,-1.8,0.4,2015
Fresh fruits and vegetables,9,2015.0,-2.8,-1.2,0.5,2015
Fresh fruits and vegetables,10,2015.0,-2.1,-0.9,0.3,2015
Fresh fruits and vegetables,11,2015.0,-1.2,-0.5,0.2,2015
Fresh fruits and vegetables,12,2015.0,-0.8,-0.5,-0.2,2015
Fresh fruits,7,2014.0,-3.7,1.8,7.6,2015
Fresh fruits,8,2014.0,-3.6,1.9,7.9,2015
Fresh fruits,9,2014.0,-3.6,1.9,7.6,2015
Fresh fruits,10,2014.0,-3.5,2.0,7.9,2015
Fresh fruits,11,2014.0,-3.0,2.4,8.1,2015
Fresh fruits,12,2014.0,-3.8,1.4,7.0,2015
Fresh fruits,1,2015.0,-5.9,-0.1,5.9,2015
Fresh fruits,2,2015.0,-5.7,-0.6,4.7,2015
Fresh fruits,3,2015.0,-6.0,-1.5,3.3,2015
Fresh fruits,4,2015.0,-7.1,-3.1,1.1,2015
Fresh fruits,5,2015.0,-6.0,-2.5,1.2,2015
Fresh fruits,6,2015.0,-5.1,-2.1,0.9,2015
Fresh fruits,7,2015.0,-6.3,-3.8,-1.3,2015
Fresh fruits,8,2015.0,-5.7,-3.7,-1.6,2015
Fresh fruits,9,2015.0,-4.6,-3.0,-1.4,2015
Fresh fruits,10,2015.0,-4.0,-2.9,-1.7,2015
Fresh fruits,11,2015.0,-3.0,-2.2,-1.5,2015
Fresh fruits,12,2015.0,-2.6,-2.2,-1.8,2015
Fresh vegetables,7,2014.0,-3.1,2.8,9.0,2015
Fresh vegetables,8,2014.0,-2.9,3.2,9.6,2015
Fresh vegetables,9,2014.0,-3.0,3.3,9.8,2015
Fresh vegetables,10,2014.0,-2.8,3.2,9.6,2015
Fresh vegetables,11,2014.0,-2.9,3.3,9.6,2015
Fresh vegetables,12,2014.0,-2.7,3.3,9.7,2015
Fresh vegetables,1,2015.0,-1.6,3.9,9.8,2015
Fresh vegetables,2,2015.0,-0.9,4.2,9.6,2015
Fresh vegetables,3,2015.0,-1.7,2.9,7.8,2015
Fresh vegetables,4,2015.0,-1.2,3.1,7.5,2015
Fresh vegetables,5,2015.0,-1.3,2.5,6.6,2015
Fresh vegetables,6,2015.0,-1.1,2.4,6.0,2015
Fresh vegetables,7,2015.0,-1.0,2.0,5.2,2015
Fresh vegetables,8,2015.0,-1.2,1.2,3.9,2015
Fresh vegetables,9,2015.0,-0.7,1.2,3.4,2015
Fresh vegetables,10,2015.0,0.0,1.4,3.0,2015
Fresh vegetables,11,2015.0,0.5,1.4,2.3,2015
Fresh vegetables,12,2015.0,1.1,1.5,1.9,2015
Processed fruits and vegetables,7,2014.0,-3.2,2.6,9.0,2015
Processed fruits and vegetables,8,2014.0,-3.2,2.5,8.6,2015
Processed fruits and vegetables,9,2014.0,-3.1,2.2,8.1,2015
Processed fruits and vegetables,10,2014.0,-3.6,1.7,7.4,2015
Processed fruits and vegetables,11,2014.0,-3.6,1.6,7.0,2015
Processed fruits and vegetables,12,2014.0,-5.5,-0.8,4.2,2015
Processed fruits and vegetables,1,2015.0,-4.2,0.2,4.9,2015
Processed fruits and vegetables,2,2015.0,-2.3,1.7,5.9,2015
Processed fruits and vegetables,3,2015.0,-1.2,2.3,6.0,2015
Processed fruits and vegetables,4,2015.0,-2.0,1.0,4.1,2015
Processed fruits and vegetables,5,2015.0,-1.5,1.0,3.7,2015
Processed fruits and vegetables,6,2015.0,-0.3,1.9,4.2,2015
Processed fruits and vegetables,7,2015.0,-0.1,1.7,3.5,2015
Processed fruits and vegetables,8,2015.0,0.5,1.8,3.3,2015
Processed fruits and vegetables,9,2015.0,0.6,1.7,2.7,2015
Processed fruits and vegetables,10,2015.0,0.8,1.5,2.2,2015
Processed fruits and vegetables,11,2015.0,0.5,1.0,1.4,2015
Processed fruits and vegetables,12,2015.0,0.5,0.8,1.0,2015
Sugar and sweets,7,2014.0,-1.1,1.8,4.8,2015
Sugar and sweets,8,2014.0,-1.3,1.6,4.5,2015
Sugar and sweets,9,2014.0,-1.4,1.5,4.4,2015
Sugar and sweets,10,2014.0,-0.5,2.2,5.0,2015
Sugar and sweets,11,2014.0,-0.8,1.8,4.4,2015
Sugar and sweets,12,2014.0,-1.0,1.5,4.0,2015
Sugar and sweets,1,2015.0,-1.6,1.2,4.0,2015
Sugar and sweets,2,2015.0,0.6,3.0,5.5,2015
Sugar and sweets,3,2015.0,2.1,4.3,6.6,2015
Sugar and sweets,4,2015.0,2.6,4.5,6.4,2015
Sugar and sweets,5,2015.0,1.9,3.5,5.1,2015
Sugar and sweets,6,2015.0,2.4,3.7,5.0,2015
Sugar and sweets,7,2015.0,2.3,3.3,4.4,2015
Sugar and sweets,8,2015.0,2.7,3.6,4.4,2015
Sugar and sweets,9,2015.0,2.9,3.5,4.2,2015
Sugar and sweets,10,2015.0,3.2,3.6,4.1,2015
Sugar and sweets,11,2015.0,3.1,3.4,3.7,2015
Sugar and sweets,12,2015.0,3.1,3.3,3.5,2015
Cereals and bakery products,7,2014.0,-2.3,1.9,6.3,2015
Cereals and bakery products,8,2014.0,-4.7,0.8,6.6,2015
Cereals and bakery products,9,2014.0,-4.3,0.7,6.2,2015
Cereals and bakery products,10,2014.0,-5.4,-0.6,4.2,2015
Cereals and bakery products,11,2014.0,-4.5,-0.2,4.3,2015
Cereals and bakery products,12,2014.0,-4.6,-0.8,3.2,2015
Cereals and bakery products,1,2015.0,-3.7,-0.3,3.1,2015
Cereals and bakery products,2,2015.0,-1.0,2.1,5.4,2015
Cereals and bakery products,3,2015.0,-0.7,1.8,4.4,2015
Cereals and bakery products,4,2015.0,-0.4,1.6,3.8,2015
Cereals and bakery products,5,2015.0,-0.8,0.9,2.6,2015
Cereals and bakery products,6,2015.0,-0.4,1.0,2.3,2015
Cereals and bakery products,7,2015.0,0.2,1.2,2.3,2015
Cereals and bakery products,8,2015.0,0.8,1.5,2.3,2015
Cereals and bakery products,9,2015.0,0.8,1.3,1.8,2015
Cereals and bakery products,10,2015.0,0.6,1.0,1.3,2015
Cereals and bakery products,11,2015.0,1.0,1.2,1.4,2015
Cereals and bakery products,12,2015.0,1.0,1.1,1.2,2015
Nonalcoholic beverages,7,2014.0,-2.3,0.9,4.3,2015
Nonalcoholic beverages,8,2014.0,-2.1,1.0,4.2,2015
Nonalcoholic beverages,9,2014.0,-2.0,1.1,4.2,2015
Nonalcoholic beverages,10,2014.0,-1.7,1.2,4.3,2015
Nonalcoholic beverages,11,2014.0,-1.2,1.7,4.6,2015
Nonalcoholic beverages,12,2014.0,-1.0,1.7,4.6,2015
Nonalcoholic beverages,1,2015.0,-1.0,1.5,4.0,2015
Nonalcoholic beverages,2,2015.0,-0.1,2.1,4.4,2015
Nonalcoholic beverages,3,2015.0,0.4,2.3,4.3,2015
Nonalcoholic beverages,4,2015.0,0.0,1.7,3.4,2015
Nonalcoholic beverages,5,2015.0,0.3,1.8,3.2,2015
Nonalcoholic beverages,6,2015.0,0.0,1.2,2.4,2015
