DATE,CPIUFDNS_PC1
1956-02-01,-1.79856
1956-03-01,-1.79856
1956-04-01,-1.43369
1956-05-01,-0.35842
1956-06-01,1.79211
1956-07-01,2.49110
1956-08-01,1.79211
1956-09-01,1.42857
1956-10-01,2.15827
1956-11-01,2.90909
1956-12-01,2.90909
1957-01-01,3.28467
1957-02-01,4.39560
1957-03-01,4.02930
1957-04-01,3.63636
1957-05-01,3.23741
1957-06-01,2.46479
1957-07-01,2.08333
1957-08-01,3.87324
1957-09-01,3.16901
1957-10-01,2.81690
1957-11-01,2.82686
1957-12-01,2.82686
1958-01-01,4.94700
1958-02-01,4.56140
1958-03-01,6.69014
1958-04-01,7.01754
1958-05-01,6.27178
1958-06-01,4.81100
1958-07-01,3.74150
1958-08-01,2.71186
1958-09-01,3.07167
1958-10-01,2.73973
1958-11-01,2.74914
1958-12-01,2.40550
1959-01-01,0.33670
1959-02-01,-0.33557
1959-03-01,-2.64026
1959-04-01,-3.27869
1959-05-01,-3.27869
1959-06-01,-2.29508
1959-07-01,-1.96721
1959-08-01,-1.98020
1959-09-01,-1.32450
1959-10-01,-1.00000
1959-11-01,-1.33779
1959-12-01,-1.00671
1960-01-01,-1.00671
1960-02-01,-1.01010
1960-03-01,0.00000
1960-04-01,1.69492
1960-05-01,1.69492
1960-06-01,1.34228
1960-07-01,1.00334
1960-08-01,1.34680
1960-09-01,1.34228
1960-10-01,2.02020
1960-11-01,3.05085
1960-12-01,3.05085
1961-01-01,3.05085
1961-02-01,3.40136
1961-03-01,3.05085
1961-04-01,1.33333
1961-05-01,1.00000
1961-06-01,0.33113
1961-07-01,1.32450
1961-08-01,0.99668
1961-09-01,0.66225
1961-10-01,0.00000
1961-11-01,-0.65789
1961-12-01,-0.65789
1962-01-01,-0.32895
1962-02-01,0.32895
1962-03-01,0.32895
1962-04-01,0.65789
1962-05-01,0.66007
1962-06-01,0.99010
1962-07-01,0.32680
1962-08-01,0.98684
1962-09-01,1.97368
1962-10-01,1.65017
1962-11-01,1.98675
1962-12-01,1.32450
1963-01-01,2.31023
1963-02-01,1.63934
1963-03-01,1.31148
1963-04-01,0.65359
1963-05-01,0.98361
1963-06-01,1.30719
1963-07-01,2.28013
1963-08-01,2.28013
1963-09-01,0.64516
1963-10-01,0.64935
1963-11-01,0.97403
1963-12-01,1.96078
1964-01-01,0.96774
1964-02-01,1.29032
1964-03-01,1.29450
1964-04-01,1.62338
1964-05-01,1.29870
1964-06-01,1.29032
1964-07-01,0.95541
1964-08-01,0.63694
1964-09-01,1.60256
1964-10-01,1.93548
1964-11-01,1.60772
1964-12-01,1.28205
1965-01-01,0.63898
1965-02-01,0.31847
1965-03-01,0.95847
1965-04-01,1.27796
1965-05-01,2.24359
1965-06-01,3.82166
1965-07-01,3.47003
1965-08-01,3.16456
1965-09-01,2.20820
1965-10-01,2.53165
1965-11-01,2.53165
1965-12-01,3.48101
1966-01-01,4.76190
1966-02-01,6.34921
1966-03-01,6.64557
1966-04-01,6.30915
1966-05-01,5.32915
1966-06-01,3.37423
1966-07-01,3.04878
1966-08-01,5.21472
1966-09-01,5.55556
1966-10-01,5.55556
1966-11-01,4.93827
1966-12-01,3.97554
1967-01-01,2.72727
1967-02-01,0.89552
1967-03-01,0.29674
1967-04-01,-0.29674
1967-05-01,0.29762
1967-06-01,0.89021
1967-07-01,1.47929
1967-08-01,0.58309
1967-09-01,0.29240
1967-10-01,0.00000
1967-11-01,0.58824
1967-12-01,1.17647
1968-01-01,2.06490
1968-02-01,2.66272
1968-03-01,3.25444
1968-04-01,4.16667
1968-05-01,4.15430
1968-06-01,3.52941
1968-07-01,3.49854
1968-08-01,3.18841
1968-09-01,3.79009
1968-10-01,4.67836
1968-11-01,4.09357
1968-12-01,4.36047
1969-01-01,4.33526
1969-02-01,4.03458
1969-03-01,3.72493
1969-04-01,4.00000
1969-05-01,4.27350
1969-06-01,5.39773
1969-07-01,5.63380
1969-08-01,5.89888
1969-09-01,5.89888
1969-10-01,5.02793
1969-11-01,6.46067
1969-12-01,6.96379
1970-01-01,7.20222
1970-02-01,7.75623
1970-03-01,7.45856
1970-04-01,7.41758
1970-05-01,7.10383
1970-06-01,5.92992
1970-07-01,5.33333
1970-08-01,4.77454
1970-09-01,4.50928
1970-10-01,4.78723
1970-11-01,3.43008
1970-12-01,2.34375
1971-01-01,1.80879
1971-02-01,1.54242
1971-03-01,2.57069
1971-04-01,2.55754
1971-05-01,2.80612
1971-06-01,3.30789
1971-07-01,3.29114
1971-08-01,3.54430
1971-09-01,3.04569
1971-10-01,2.79188
1971-11-01,3.57143
1971-12-01,4.32570
1972-01-01,4.06091
1972-02-01,5.31646
1972-03-01,4.51128
1972-04-01,3.99002
1972-05-01,3.47395
1972-06-01,3.20197
1972-07-01,3.67647
1972-08-01,3.91198
1972-09-01,4.67980
1972-10-01,5.18519
1972-11-01,5.17241
1972-12-01,4.63415
1973-01-01,6.82927
1973-02-01,7.45192
1973-03-01,9.83213
1973-04-01,11.51079
1973-05-01,12.70983
1973-06-01,13.60382
1973-07-01,13.47518
1973-08-01,19.76471
1973-09-01,18.82353
1973-10-01,18.77934
1973-11-01,19.67213
1973-12-01,20.27972
1974-01-01,19.63470
1974-02-01,20.13423
1974-03-01,18.34061
1974-04-01,16.34409
1974-05-01,15.74468
1974-06-01,14.70588
1974-07-01,13.95833
1974-08-01,9.03733
1974-09-01,11.28713
1974-10-01,11.85771
1974-11-01,11.93738
1974-12-01,12.01550
1975-01-01,11.06870
1975-02-01,8.93855
1975-03-01,7.74908
1975-04-01,7.76340
1975-05-01,7.72059
1975-06-01,8.79121
1975-07-01,11.33455
1975-08-01,9.36937
1975-09-01,7.82918
1975-10-01,7.77385
1975-11-01,7.16783
1975-12-01,6.57439
1976-01-01,5.84192
1976-02-01,4.78632
1976-03-01,4.28082
1976-04-01,4.80274
1976-05-01,4.60751
1976-06-01,3.87205
1976-07-01,1.97044
1976-08-01,2.47117
1976-09-01,2.14521
1976-10-01,1.47541
1976-11-01,0.65253
1976-12-01,0.48701
1977-01-01,1.46104
1977-02-01,4.40457
1977-03-01,5.58292
1977-04-01,6.54664
1977-05-01,6.52529
1977-06-01,6.96921
1977-07-01,6.76329
1977-08-01,6.91318
1977-09-01,7.10824
1977-10-01,7.10824
1977-11-01,8.10373
1977-12-01,8.07754
1978-01-01,8.64000
1978-02-01,7.50000
1978-03-01,8.24261
1978-04-01,8.60215
1978-05-01,9.80092
1978-06-01,10.45455
1978-07-01,10.55807
1978-08-01,10.37594
1978-09-01,10.85973
1978-10-01,11.46305
