cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
Fresh vegetables,7,2013.0,1.5,4.8,8.2,2013
Fresh vegetables,8,2013.0,2.3,5.0,7.8,2013
Fresh vegetables,9,2013.0,3.3,5.4,7.8,2013
Fresh vegetables,10,2013.0,3.3,4.9,6.6,2013
Fresh vegetables,11,2013.0,4.1,5.1,6.1,2013
Fresh vegetables,12,2013.0,4.4,4.8,5.2,2013
Processed fruits and vegetables,7,2012.0,-2.4,3.4,9.5,2013
Processed fruits and vegetables,8,2012.0,-2.9,2.7,8.6,2013
Processed fruits and vegetables,9,2012.0,-2.9,2.8,8.8,2013
Processed fruits and vegetables,10,2012.0,-3.0,2.4,8.0,2013
Processed fruits and vegetables,11,2012.0,-3.2,2.0,7.5,2013
Processed fruits and vegetables,12,2012.0,-3.8,0.9,6.0,2013
Processed fruits and vegetables,1,2013.0,-4.4,0.1,4.7,2013
Processed fruits and vegetables,2,2013.0,-1.8,2.1,6.3,2013
Processed fruits and vegetables,3,2013.0,-1.5,2.0,5.6,2013
Processed fruits and vegetables,4,2013.0,-1.9,1.0,4.1,2013
Processed fruits and vegetables,5,2013.0,-1.9,0.6,3.2,2013
Processed fruits and vegetables,6,2013.0,-0.7,1.4,3.6,2013
Processed fruits and vegetables,7,2013.0,-0.2,1.5,3.2,2013
Processed fruits and vegetables,8,2013.0,0.1,1.4,2.8,2013
Processed fruits and vegetables,9,2013.0,0.2,1.2,2.2,2013
Processed fruits and vegetables,10,2013.0,0.3,1.0,1.7,2013
Processed fruits and vegetables,11,2013.0,0.1,0.5,1.0,2013
Processed fruits and vegetables,12,2013.0,0.1,0.3,0.5,2013
Sugar and sweets,7,2012.0,0.0,3.4,7.0,2013
Sugar and sweets,8,2012.0,0.2,3.5,6.9,2013
Sugar and sweets,9,2012.0,-0.4,2.3,5.1,2013
Sugar and sweets,10,2012.0,-0.5,2.2,4.9,2013
Sugar and sweets,11,2012.0,-0.6,1.9,4.5,2013
Sugar and sweets,12,2012.0,-1.6,0.9,3.4,2013
Sugar and sweets,1,2013.0,-1.4,0.8,3.1,2013
Sugar and sweets,2,2013.0,-0.9,1.2,3.2,2013
Sugar and sweets,3,2013.0,-1.5,0.2,2.0,2013
Sugar and sweets,4,2013.0,-1.7,-0.1,1.4,2013
Sugar and sweets,5,2013.0,-1.8,-0.5,0.8,2013
Sugar and sweets,6,2013.0,-1.9,-0.8,0.3,2013
Sugar and sweets,7,2013.0,-1.7,-0.8,0.1,2013
Sugar and sweets,8,2013.0,-1.8,-1.0,-0.3,2013
Sugar and sweets,9,2013.0,-2.1,-1.5,-0.9,2013
Sugar and sweets,10,2013.0,-2.0,-1.6,-1.2,2013
Sugar and sweets,11,2013.0,-1.8,-1.6,-1.3,2013
Sugar and sweets,12,2013.0,-1.8,-1.6,-1.5,2013
Cereals and bakery products,7,2012.0,-1.8,2.4,6.7,2013
Cereals and bakery products,8,2012.0,-2.2,2.2,7.0,2013
Cereals and bakery products,9,2012.0,-2.5,1.9,6.4,2013
Cereals and bakery products,10,2012.0,-5.8,-1.0,4.2,2013
Cereals and bakery products,11,2012.0,-2.3,1.4,5.2,2013
Cereals and bakery products,12,2012.0,-1.9,1.5,4.9,2013
Cereals and bakery products,1,2013.0,-1.1,1.8,4.8,2013
Cereals and bakery products,2,2013.0,-0.4,2.2,4.9,2013
Cereals and bakery products,3,2013.0,-0.3,1.9,4.2,2013
Cereals and bakery products,4,2013.0,-0.5,1.4,3.4,2013
Cereals and bakery products,5,2013.0,0.5,2.0,3.6,2013
Cereals and bakery products,6,2013.0,0.3,1.6,2.8,2013
Cereals and bakery products,7,2013.0,0.6,1.5,2.5,2013
Cereals and bakery products,8,2013.0,0.4,1.2,2.0,2013
Cereals and bakery products,9,2013.0,0.6,1.2,1.8,2013
Cereals and bakery products,10,2013.0,0.7,1.1,1.5,2013
Cereals and bakery products,11,2013.0,0.8,1.1,1.3,2013
Cereals and bakery products,12,2013.0,0.9,1.0,1.1,2013
Nonalcoholic beverages,7,2012.0,-1.9,1.1,4.3,2013
Nonalcoholic beverages,8,2012.0,-2.0,0.9,3.9,2013
Nonalcoholic beverages,9,2012.0,-2.1,0.9,3.9,2013
Nonalcoholic beverages,10,2012.0,-1.7,1.2,4.1,2013
Nonalcoholic beverages,11,2012.0,-1.7,1.1,3.8,2013
Nonalcoholic beverages,12,2012.0,-1.7,0.8,3.5,2013
Nonalcoholic beverages,1,2013.0,-1.7,0.7,3.2,2013
Nonalcoholic beverages,2,2013.0,-0.9,1.2,3.4,2013
Nonalcoholic beverages,3,2013.0,-1.0,0.9,2.8,2013
Nonalcoholic beverages,4,2013.0,-0.9,0.7,2.4,2013
Nonalcoholic beverages,5,2013.0,-0.8,0.6,2.0,2013
Nonalcoholic beverages,6,2013.0,-1.5,-0.4,0.8,2013
Nonalcoholic beverages,7,2013.0,-1.6,-0.6,0.4,2013
Nonalcoholic beverages,8,2013.0,-1.7,-0.9,-0.1,2013
Nonalcoholic beverages,9,2013.0,-1.5,-0.9,-0.3,2013
Nonalcoholic beverages,10,2013.0,-1.4,-0.9,-0.5,2013
Nonalcoholic beverages,11,2013.0,-1.2,-0.9,-0.6,2013
Nonalcoholic beverages,12,2013.0,-1.2,-1.0,-0.8,2013
Other foods,7,2012.0,-1.0,2.0,5.3,2013
Other foods,8,2012.0,-1.1,1.9,5.0,2013
Other foods,9,2012.0,-0.9,2.1,5.2,2013
Other foods,10,2012.0,-1.2,1.6,4.5,2013
Other foods,11,2012.0,-1.4,1.4,4.2,2013
Other foods,12,2012.0,-1.4,1.2,3.8,2013
Other foods,1,2013.0,-1.4,1.0,3.3,2013
Other foods,2,2013.0,-1.0,1.1,3.2,2013
Other foods,3,2013.0,-0.8,0.9,2.7,2013
Other foods,4,2013.0,-0.4,1.1,2.7,2013
Other foods,5,2013.0,0.3,1.6,3.0,2013
Other foods,6,2013.0,0.2,1.2,2.3,2013
Other foods,7,2013.0,0.2,1.1,2.0,2013
Other foods,8,2013.0,0.5,1.1,1.8,2013
Other foods,9,2013.0,0.2,0.7,1.2,2013
Other foods,10,2013.0,0.2,0.5,0.9,2013
Other foods,11,2013.0,0.2,0.5,0.7,2013
Other foods,12,2013.0,0.4,0.5,0.6,2013
