product_name,year,month,us_city_average_retail_price,category
American Cheese,2007,9,4.051,Dairy Products
American Cheese,2007,10,4.158,Dairy Products
American Cheese,2007,11,3.884,Dairy Products
American Cheese,2007,12,3.905,Dairy Products
American Cheese,2008,1,3.994,Dairy Products
American Cheese,2008,2,4.059,Dairy Products
American Cheese,2008,3,4.008,Dairy Products
American Cheese,2008,4,3.876,Dairy Products
American Cheese,2008,5,3.938,Dairy Products
American Cheese,2008,6,3.929,Dairy Products
American Cheese,2008,7,4.182,Dairy Products
American Cheese,2008,8,4.188,Dairy Products
American Cheese,2008,9,4.089,Dairy Products
American Cheese,2008,10,4.021,Dairy Products
American Cheese,2008,11,4.08,Dairy Products
American Cheese,2008,12,4.141,Dairy Products
American Cheese,2009,1,4.124,Dairy Products
American Cheese,2009,2,4.049,Dairy Products
American Cheese,2009,3,3.885,Dairy Products
American Cheese,2009,4,3.776,Dairy Products
American Cheese,2009,5,3.92,Dairy Products
American Cheese,2009,6,3.9,Dairy Products
American Cheese,2009,7,3.881,Dairy Products
American Cheese,2009,8,3.902,Dairy Products
American Cheese,2009,9,3.82,Dairy Products
American Cheese,2009,10,3.881,Dairy Products
American Cheese,2009,11,3.838,Dairy Products
American Cheese,2009,12,3.858,Dairy Products
American Cheese,2010,1,3.875,Dairy Products
American Cheese,2010,2,3.943,Dairy Products
American Cheese,2010,3,3.914,Dairy Products
American Cheese,2010,4,3.939,Dairy Products
American Cheese,2010,5,3.912,Dairy Products
American Cheese,2010,6,4.074,Dairy Products
American Cheese,2010,7,3.956,Dairy Products
American Cheese,2010,8,3.811,Dairy Products
American Cheese,2010,9,3.864,Dairy Products
American Cheese,2010,10,4.004,Dairy Products
American Cheese,2010,11,3.836,Dairy Products
American Cheese,2010,12,3.797,Dairy Products
American Cheese,2011,1,3.758,Dairy Products
American Cheese,2011,2,3.734,Dairy Products
American Cheese,2011,3,3.828,Dairy Products
American Cheese,2011,4,3.891,Dairy Products
American Cheese,2011,5,4.052,Dairy Products
American Cheese,2011,6,3.922,Dairy Products
American Cheese,2011,7,4.093,Dairy Products
American Cheese,2011,8,4.204,Dairy Products
American Cheese,2011,9,4.281,Dairy Products
American Cheese,2011,10,4.36,Dairy Products
American Cheese,2011,11,4.367,Dairy Products
American Cheese,2011,12,4.303,Dairy Products
American Cheese,2012,1,4.396,Dairy Products
American Cheese,2012,2,4.262,Dairy Products
